Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.301546
Total NOx (mg): 2059.032
Overall NOx (mg/km): 51.091
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.672784,1408.639,145.629,False
medium,433,14.088018,540.725,38.382,True
high,455,13.093014,85.177,6.505,True
extra_high,323,3.447729,24.492,7.104,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1154.21, False
2, 42.96, True
3, 37.59, True
4, 34.62, True
5, 33.94, True
6, 17.05, True
7, 11.57, True
8, 17.95, True
9, 30.15, True
10, 214.05, False
11, 32.70, True
12, 16.98, True
13, 14.42, True
14, 16.37, True
15, 19.31, True
16, 21.36, True
17, 22.52, True
18, 23.11, True
19, 83.94, False
20, 99.18, False
21, 5.41, True
22, 0.00, True
23, 0.00, True
24, 0.00, True
25, 0.00, True
26, 0.00, True
27, 0.00, True
28, 0.00, True
29, 0.00, True
30, 0.00, True
31, 2.01, True
32, 7.46, True
33, 12.97, True
34, 15.57, True
35, 17.69, True
36, 19.13, True
37, 20.96, True
38, 13.87, True
39, 0.00, True
Partial (0.94 km), 0.00, True
